,ID,bias,hate
0,0,none,none
1,1,none,hate
2,2,none,hate
3,3,none,hate
4,4,none,hate
5,5,none,none
6,6,none,none
7,7,none,none
8,8,none,none
9,9,none,none
10,10,none,none
11,11,gender,hate
12,12,none,none
13,13,none,none
14,14,none,none
15,15,gender,hate
16,16,none,hate
17,17,none,none
18,18,none,none
19,19,none,none
20,20,none,hate
21,21,none,none
22,22,none,hate
23,23,none,hate
24,24,none,hate
25,25,none,none
26,26,none,hate
27,27,none,none
28,28,none,hate
29,29,none,none
30,30,none,hate
31,31,none,none
32,32,none,hate
33,33,none,hate
34,34,none,none
35,35,gender,hate
36,36,none,none
37,37,none,none
38,38,none,none
39,39,none,none
40,40,none,hate
41,41,none,none
42,42,none,hate
43,43,none,none
44,44,none,none
45,45,none,none
46,46,none,none
47,47,none,none
48,48,none,none
49,49,gender,hate
50,50,none,none
51,51,none,none
52,52,none,none
53,53,none,hate
54,54,none,none
55,55,none,none
56,56,gender,hate
57,57,none,none
58,58,none,none
59,59,none,hate
60,60,none,hate
61,61,gender,hate
62,62,none,none
63,63,gender,hate
64,64,none,none
65,65,none,none
66,66,none,none
67,67,none,hate
68,68,none,none
69,69,none,hate
70,70,none,none
71,71,none,hate
72,72,none,hate
73,73,none,none
74,74,none,hate
75,75,none,none
76,76,none,none
77,77,none,none
78,78,gender,hate
79,79,none,hate
80,80,none,hate
81,81,none,none
82,82,none,hate
83,83,none,none
84,84,none,none
85,85,none,none
86,86,none,none
87,87,gender,hate
88,88,none,none
89,89,none,none
90,90,none,none
91,91,none,none
92,92,none,hate
93,93,none,none
94,94,none,none
95,95,none,none
96,96,none,none
97,97,none,hate
98,98,none,none
99,99,none,none
100,100,none,none
101,101,none,none
102,102,none,none
103,103,none,none
104,104,gender,hate
105,105,none,none
106,106,none,none
107,107,none,none
108,108,none,none
109,109,none,none
110,110,none,none
111,111,none,hate
112,112,none,hate
113,113,none,none
114,114,none,hate
115,115,none,none
116,116,none,hate
117,117,none,none
118,118,none,hate
119,119,none,none
120,120,none,none
121,121,none,none
122,122,none,none
123,123,none,none
124,124,none,none
125,125,none,none
126,126,gender,hate
127,127,gender,hate
128,128,none,none
129,129,none,none
130,130,none,none
131,131,none,hate
132,132,none,none
133,133,none,hate
134,134,none,hate
135,135,none,none
136,136,none,hate
137,137,none,none
138,138,none,hate
