,ID,bias,hate
0,0,none,none
1,1,none,none
2,2,none,hate
3,3,none,hate
4,4,none,none
5,5,none,hate
6,6,others,hate
7,7,others,hate
8,8,gender,hate
9,9,none,none
10,10,none,hate
11,11,gender,hate
12,12,none,none
13,13,others,hate
14,14,none,none
15,15,gender,hate
16,16,none,hate
17,17,others,hate
18,18,others,hate
19,19,none,none
20,20,gender,hate
21,21,none,none
22,22,others,hate
23,23,others,hate
24,24,none,none
25,25,none,hate
26,26,gender,hate
27,27,none,none
28,28,none,none
29,29,none,hate
30,30,others,hate
31,31,gender,hate
32,32,none,hate
33,33,others,hate
34,34,none,none
35,35,gender,hate
36,36,none,hate
37,37,none,none
38,38,none,hate
39,39,none,hate
40,40,gender,hate
41,41,none,hate
42,42,others,hate
43,43,none,none
44,44,none,none
45,45,none,hate
46,46,none,hate
47,47,none,hate
48,48,none,none
49,49,gender,hate
50,50,none,hate
51,51,none,none
52,52,none,hate
53,53,others,hate
54,54,none,none
55,55,gender,hate
56,56,gender,hate
57,57,none,none
58,58,none,none
59,59,none,hate
60,60,others,hate
61,61,gender,hate
62,62,none,none
63,63,gender,hate
64,64,none,hate
65,65,none,none
66,66,none,none
67,67,others,hate
68,68,none,none
69,69,gender,hate
70,70,none,none
71,71,none,hate
72,72,none,hate
73,73,none,none
74,74,gender,hate
75,75,none,none
76,76,gender,hate
77,77,others,hate
78,78,gender,hate
79,79,none,hate
80,80,none,hate
81,81,none,hate
82,82,others,hate
83,83,none,none
84,84,none,none
85,85,none,none
86,86,none,hate
87,87,others,hate
88,88,none,hate
89,89,none,none
90,90,none,none
91,91,none,hate
92,92,none,hate
93,93,none,hate
94,94,none,hate
95,95,others,hate
96,96,none,none
97,97,others,hate
98,98,none,none
99,99,none,hate
100,100,none,none
101,101,others,hate
102,102,none,none
103,103,none,none
104,104,gender,hate
105,105,none,none
106,106,none,none
107,107,none,none
108,108,none,hate
109,109,none,none
110,110,none,none
111,111,gender,hate
112,112,others,hate
113,113,none,none
114,114,others,hate
115,115,none,hate
116,116,others,hate
117,117,none,none
118,118,none,none
